,brand,state,year,quarter,count,percentage
141,Tecno,Andaman & Nicobar,2021,1,796,0.0137816406385262
142,Others,Andaman & Nicobar,2021,1,4532,0.078465320821358
143,Vivo,Andaman & Nicobar,2021,2,15056,0.2424671873741847
144,Xiaomi,Andaman & Nicobar,2021,2,14788,0.2381512199049843
145,Samsung,Andaman & Nicobar,2021,2,11476,0.1848135920766567
146,Oppo,Andaman & Nicobar,2021,2,5456,0.0878653675819309
147,Realme,Andaman & Nicobar,2021,2,4034,0.0649649730252033
148,OnePlus,Andaman & Nicobar,2021,2,1981,0.0319027296883807
149,Huawei,Andaman & Nicobar,2021,2,1559,0.0251066913600128
150,Apple,Andaman & Nicobar,2021,2,1153,0.0185683227312988
151,Motorola,Andaman & Nicobar,2021,2,1054,0.0169739914646912
152,Tecno,Andaman & Nicobar,2021,2,974,0.0156856429664224
153,Others,Andaman & Nicobar,2021,2,4564,0.073500281826234
154,Vivo,Andaman & Nicobar,2021,3,16411,0.2450061210474455
155,Xiaomi,Andaman & Nicobar,2021,3,15938,0.2379445224090054
156,Samsung,Andaman & Nicobar,2021,3,12028,0.1795706309157684
157,Oppo,Andaman & Nicobar,2021,3,5853,0.0873816846316921
158,Realme,Andaman & Nicobar,2021,3,4808,0.0717804783374638
159,OnePlus,Andaman & Nicobar,2021,3,2306,0.0344271595353975
160,Huawei,Andaman & Nicobar,2021,3,1567,0.0233943447493356
161,Apple,Andaman & Nicobar,2021,3,1283,0.0191543996894688
162,Tecno,Andaman & Nicobar,2021,3,1178,0.0175868143680391
163,Motorola,Andaman & Nicobar,2021,3,1017,0.015183183541847
164,Others,Andaman & Nicobar,2021,3,4593,0.0685706607745364
165,Vivo,Andaman & Nicobar,2021,4,17597,0.2451518528838116
166,Xiaomi,Andaman & Nicobar,2021,4,16968,0.2363889662858735
167,Samsung,Andaman & Nicobar,2021,4,12574,0.1751741432153803
168,Oppo,Andaman & Nicobar,2021,4,6127,0.0853580384508219
169,Realme,Andaman & Nicobar,2021,4,5830,0.0812203956533853
170,OnePlus,Andaman & Nicobar,2021,4,2691,0.0374895514070771
171,Apple,Andaman & Nicobar,2021,4,1490,0.0207578712733351
172,Huawei,Andaman & Nicobar,2021,4,1459,0.0203259960991919
173,Tecno,Andaman & Nicobar,2021,4,1417,0.019740874895514
174,Motorola,Andaman & Nicobar,2021,4,1055,0.0146976873780997
175,Others,Andaman & Nicobar,2021,4,4572,0.063694622457509
176,Vivo,Andaman & Nicobar,2022,1,18688,0.2449664429530201
177,Xiaomi,Andaman & Nicobar,2022,1,17957,0.2353843330536912
178,Samsung,Andaman & Nicobar,2022,1,12955,0.1698170092281879
179,Realme,Andaman & Nicobar,2022,1,6769,0.0887295511744966
180,Oppo,Andaman & Nicobar,2022,1,6461,0.0846922189597315
181,OnePlus,Andaman & Nicobar,2022,1,3005,0.0393902055369127
182,Tecno,Andaman & Nicobar,2022,1,1770,0.0232015520134228
183,Apple,Andaman & Nicobar,2022,1,1634,0.0214188338926174
184,Huawei,Andaman & Nicobar,2022,1,1441,0.018888947147651
185,Motorola,Andaman & Nicobar,2022,1,1050,0.0137636325503355
186,Others,Andaman & Nicobar,2022,1,4558,0.0597472734899328
187,Xiaomi,Andhra Pradesh,2018,1,836581,0.2507398582325525
188,Samsung,Andhra Pradesh,2018,1,683687,0.204914504937883
189,Vivo,Andhra Pradesh,2018,1,425959,0.1276683301113459
190,Oppo,Andhra Pradesh,2018,1,304487,0.0912607711789476
191,Realme,Andhra Pradesh,2018,1,236646,0.0709274828035786
192,Motorola,Andhra Pradesh,2018,1,129739,0.0388853422050382
193,OnePlus,Andhra Pradesh,2018,1,129421,0.0387900313207151
194,Apple,Andhra Pradesh,2018,1,123274,0.0369476539435627
195,Lenovo,Andhra Pradesh,2018,1,84138,0.0252178213370498
196,Huawei,Andhra Pradesh,2018,1,76654,0.0229747186380734
197,Others,Andhra Pradesh,2018,1,305864,0.0916734852912526
198,Xiaomi,Andhra Pradesh,2018,2,1113800,0.2529903192248111
199,Samsung,Andhra Pradesh,2018,2,903290,0.2051747400364335
200,Vivo,Andhra Pradesh,2018,2,586965,0.1333241719552803
201,Oppo,Andhra Pradesh,2018,2,410549,0.0932527586347881
202,Realme,Andhra Pradesh,2018,2,305964,0.0694971539156941
203,Motorola,Andhra Pradesh,2018,2,169847,0.038579320119749
204,OnePlus,Andhra Pradesh,2018,2,155418,0.0353018939066993
205,Apple,Andhra Pradesh,2018,2,151847,0.0344907712366043
206,Lenovo,Andhra Pradesh,2018,2,107441,0.0244043211418862
207,Huawei,Andhra Pradesh,2018,2,102929,0.0233794582218446
208,Others,Andhra Pradesh,2018,2,394490,0.0896050916062091
209,Xiaomi,Andhra Pradesh,2018,3,1385112,0.2551970782020912
210,Samsung,Andhra Pradesh,2018,3,1103186,0.2032542089834268
211,Vivo,Andhra Pradesh,2018,3,761793,0.1403549660928544
212,Oppo,Andhra Pradesh,2018,3,518120,0.0954599412596725
213,Realme,Andhra Pradesh,2018,3,379712,0.0699592473087176
214,Motorola,Andhra Pradesh,2018,3,203756,0.0375406002302668
215,OnePlus,Andhra Pradesh,2018,3,181364,0.0334150327851062
216,Apple,Andhra Pradesh,2018,3,175343,0.032305706169024
217,Huawei,Andhra Pradesh,2018,3,134429,0.0247675913757363
218,Lenovo,Andhra Pradesh,2018,3,122489,0.0225677309213233
219,Others,Andhra Pradesh,2018,3,462313,0.0851778966717806
220,Xiaomi,Andhra Pradesh,2018,4,1753802,0.2557528652585838
221,Samsung,Andhra Pradesh,2018,4,1388061,0.2024177061627795
222,Vivo,Andhra Pradesh,2018,4,1011185,0.1474587559237024
223,Oppo,Andhra Pradesh,2018,4,675093,0.0984472415164386
224,Realme,Andhra Pradesh,2018,4,476746,0.0695227599812115
225,Motorola,Andhra Pradesh,2018,4,250601,0.0365445607809013
226,OnePlus,Andhra Pradesh,2018,4,210161,0.0306472896687363
227,Apple,Andhra Pradesh,2018,4,209737,0.0305854587352161
228,Huawei,Andhra Pradesh,2018,4,176237,0.0257002316764247
229,Lenovo,Andhra Pradesh,2018,4,149583,0.0218133408697074
230,Others,Andhra Pradesh,2018,4,556203,0.0811097894262978
231,Xiaomi,Andhra Pradesh,2019,1,2110547,0.2548040756637163
232,Samsung,Andhra Pradesh,2019,1,1688342,0.2038317188455079
233,Vivo,Andhra Pradesh,2019,1,1262871,0.1524650613502154
234,Oppo,Andhra Pradesh,2019,1,835541,0.1008739687787749
235,Realme,Andhra Pradesh,2019,1,564832,0.068191561555032
236,Motorola,Andhra Pradesh,2019,1,291830,0.0352323229006235
237,Apple,Andhra Pradesh,2019,1,241108,0.0291087102420023
238,OnePlus,Andhra Pradesh,2019,1,237269,0.0286452318894837
239,Huawei,Andhra Pradesh,2019,1,220082,0.0265702638132304
240,Lenovo,Andhra Pradesh,2019,1,171471,0.020701509920477
241,Others,Andhra Pradesh,2019,1,659126,0.0795755750409361
242,Xiaomi,Andhra Pradesh,2019,2,2389374,0.2544864454724319
243,Samsung,Andhra Pradesh,2019,2,1914378,0.2038957704028851
244,Vivo,Andhra Pradesh,2019,2,1466695,0.1562141369003716
245,Oppo,Andhra Pradesh,2019,2,963352,0.1026042914247657
246,Realme,Andhra Pradesh,2019,2,641519,0.0683266370241867
247,Motorola,Andhra Pradesh,2019,2,324778,0.0345913192273982
248,Apple,Andhra Pradesh,2019,2,264860,0.0282095979732885
249,OnePlus,Andhra Pradesh,2019,2,254273,0.0270820022104583
250,Huawei,Andhra Pradesh,2019,2,250859,0.0267183853280268
251,Lenovo,Andhra Pradesh,2019,2,189151,0.0201460155034565
252,Others,Andhra Pradesh,2019,2,729764,0.0777253985327302
253,Xiaomi,Andhra Pradesh,2019,3,2656468,0.2539961733268201
254,Samsung,Andhra Pradesh,2019,3,2123659,0.2030520448396372
255,Vivo,Andhra Pradesh,2019,3,1674109,0.1600686624992243
256,Oppo,Andhra Pradesh,2019,3,1087660,0.1039957860891413
257,Realme,Andhra Pradesh,2019,3,727964,0.0696037258192778
258,Motorola,Andhra Pradesh,2019,3,348910,0.0333607650592669
259,Apple,Andhra Pradesh,2019,3,286412,0.0273850661837
260,Huawei,Andhra Pradesh,2019,3,282587,0.0270193417093321
261,OnePlus,Andhra Pradesh,2019,3,271100,0.0259210209153285
262,Lenovo,Andhra Pradesh,2019,3,194180,0.0185663734464717
263,Others,Andhra Pradesh,2019,3,805644,0.0770310401117998
264,Xiaomi,Andhra Pradesh,2019,4,2985953,0.2539532839372529
265,Samsung,Andhra Pradesh,2019,4,2379139,0.2023441634858928
266,Vivo,Andhra Pradesh,2019,4,1922141,0.1634767925484545
267,Oppo,Andhra Pradesh,2019,4,1241235,0.1055661975884604
268,Realme,Andhra Pradesh,2019,4,844668,0.071838442345446
269,Motorola,Andhra Pradesh,2019,4,381692,0.0324626465495531
270,Huawei,Andhra Pradesh,2019,4,317290,0.0269852999898025
271,Apple,Andhra Pradesh,2019,4,308354,0.0262252992311626
272,OnePlus,Andhra Pradesh,2019,4,286412,0.0243591469654869
273,Lenovo,Andhra Pradesh,2019,4,208785,0.0177570230967598
274,Others,Andhra Pradesh,2019,4,882214,0.075031704261728
275,Xiaomi,Andhra Pradesh,2020,1,3307542,0.2539952972110403
276,Samsung,Andhra Pradesh,2020,1,2622762,0.2014091472470561
277,Vivo,Andhra Pradesh,2020,1,2165012,0.1662572588361595
278,Oppo,Andhra Pradesh,2020,1,1387060,0.1065161733243434
279,Realme,Andhra Pradesh,2020,1,960418,0.0737531542628432
280,Motorola,Andhra Pradesh,2020,1,411062,0.0315665877748989
281,Huawei,Andhra Pradesh,2020,1,348324,0.0267487632525115
282,Apple,Andhra Pradesh,2020,1,329329,0.0252900846717032
283,OnePlus,Andhra Pradesh,2020,1,298911,0.0229542023305068
284,Lenovo,Andhra Pradesh,2020,1,227154,0.0174437838560104
285,Others,Andhra Pradesh,2020,1,964486,0.0740655472329262
286,Xiaomi,Andhra Pradesh,2020,2,3635594,0.2538880246932978
287,Samsung,Andhra Pradesh,2020,2,2888149,0.2016909601649479
288,Vivo,Andhra Pradesh,2020,2,2409399,0.1682579388149521
289,Oppo,Andhra Pradesh,2020,2,1535129,0.1072041788657913
290,Realme,Andhra Pradesh,2020,2,1072165,0.0748735568370092
291,Motorola,Andhra Pradesh,2020,2,445380,0.0311026611986654
292,Huawei,Andhra Pradesh,2020,2,379220,0.0264824446085543
293,Apple,Andhra Pradesh,2020,2,348938,0.0243677318095557
294,OnePlus,Andhra Pradesh,2020,2,309208,0.0215932274999258
295,Lenovo,Andhra Pradesh,2020,2,243288,0.0169897710667316
296,Others,Andhra Pradesh,2020,2,1053205,0.0735495044405686
297,Xiaomi,Andhra Pradesh,2020,3,3978789,0.2535487071612031
298,Samsung,Andhra Pradesh,2020,3,3154020,0.2009902242517957
299,Vivo,Andhra Pradesh,2020,3,2687996,0.1712928005618004
300,Oppo,Andhra Pradesh,2020,3,1695723,0.1080601093331455
301,Realme,Andhra Pradesh,2020,3,1207622,0.076955826719996
302,Motorola,Andhra Pradesh,2020,3,477313,0.0304168162878793
303,Huawei,Andhra Pradesh,2020,3,408520,0.0260329758249293
304,Apple,Andhra Pradesh,2020,3,370327,0.0235991232701424
305,OnePlus,Andhra Pradesh,2020,3,322028,0.0205212649049014
306,Lenovo,Andhra Pradesh,2020,3,260912,0.0166266419965582
307,Others,Andhra Pradesh,2020,3,1129155,0.0719555096876482
308,Xiaomi,Andhra Pradesh,2020,4,4325662,0.2533098430509883
309,Samsung,Andhra Pradesh,2020,4,3419866,0.2002666227077869
310,Vivo,Andhra Pradesh,2020,4,2950572,0.1727848662772636
311,Oppo,Andhra Pradesh,2020,4,1856052,0.1086900087927519
312,Realme,Andhra Pradesh,2020,4,1361491,0.0797286222375518
313,Motorola,Andhra Pradesh,2020,4,506158,0.0296405043988647
314,Huawei,Andhra Pradesh,2020,4,437125,0.0255979466596473
315,Apple,Andhra Pradesh,2020,4,394191,0.0230837407874475
316,OnePlus,Andhra Pradesh,2020,4,336518,0.019706422222502
317,Lenovo,Andhra Pradesh,2020,4,276671,0.0162017946817758
318,Others,Andhra Pradesh,2020,4,1212259,0.0709896281834197
319,Xiaomi,Andhra Pradesh,2021,1,4644641,0.2529246640647629
320,Samsung,Andhra Pradesh,2021,1,3635596,0.1979769581707597
321,Vivo,Andhra Pradesh,2021,1,3245151,0.1767152136224154
322,Oppo,Andhra Pradesh,2021,1,2010506,0.1094824238622942
323,Realme,Andhra Pradesh,2021,1,1531645,0.0834059719774841
324,Motorola,Andhra Pradesh,2021,1,518115,0.028214034695451
325,Huawei,Andhra Pradesh,2021,1,455604,0.0248099882523885
326,Apple,Andhra Pradesh,2021,1,421002,0.0229257308413273
327,OnePlus,Andhra Pradesh,2021,1,355922,0.0193817890948425
328,Lenovo,Andhra Pradesh,2021,1,277980,0.0151374450935438
329,Others,Andhra Pradesh,2021,1,1267571,0.0690257803247302
330,Xiaomi,Andhra Pradesh,2021,2,4937684,0.251654243267576
331,Samsung,Andhra Pradesh,2021,2,3798250,0.1935817945196717
332,Vivo,Andhra Pradesh,2021,2,3572140,0.182057861245442
333,Oppo,Andhra Pradesh,2021,2,2173037,0.110751109594588
334,Realme,Andhra Pradesh,2021,2,1817804,0.0926462872125419
335,Motorola,Andhra Pradesh,2021,2,503072,0.0256395920575529
336,Apple,Andhra Pradesh,2021,2,450689,0.0229698375278816
337,Huawei,Andhra Pradesh,2021,2,440324,0.0224415744329835
338,OnePlus,Andhra Pradesh,2021,2,394851,0.0201239952999109
339,Lenovo,Andhra Pradesh,2021,2,261201,0.0133123828895761
340,Others,Andhra Pradesh,2021,2,1271853,0.0648213219522748
341,Xiaomi,Andhra Pradesh,2021,3,5256707,0.249607429247758
342,Vivo,Andhra Pradesh,2021,3,3981492,0.1890556165086839
343,Samsung,Andhra Pradesh,2021,3,3911188,0.1857173287354003
344,Oppo,Andhra Pradesh,2021,3,2382363,0.1131231974627797
345,Realme,Andhra Pradesh,2021,3,2134616,0.1013592753393202
346,Motorola,Andhra Pradesh,2021,3,486971,0.0231231414321189
347,Apple,Andhra Pradesh,2021,3,480993,0.0228392844067905
348,OnePlus,Andhra Pradesh,2021,3,459011,0.0217954996743099
349,Huawei,Andhra Pradesh,2021,3,435214,0.0206655321882375
350,Lenovo,Andhra Pradesh,2021,3,245241,0.0116449281948089
351,Others,Andhra Pradesh,2021,3,1286102,0.0610687668097917
352,Xiaomi,Andhra Pradesh,2021,4,5518238,0.2453746669098074
353,Vivo,Andhra Pradesh,2021,4,4381023,0.1948071212856722
354,Samsung,Andhra Pradesh,2021,4,4017419,0.1786390599611926
355,Oppo,Andhra Pradesh,2021,4,2580845,0.1147601792856419
356,Realme,Andhra Pradesh,2021,4,2528884,0.1124496749059285
357,Apple,Andhra Pradesh,2021,4,544986,0.0242334162137458
358,OnePlus,Andhra Pradesh,2021,4,525373,0.0233613020820062
359,Motorola,Andhra Pradesh,2021,4,474422,0.0210957084896817
360,Huawei,Andhra Pradesh,2021,4,409934,0.0182281769479687
361,Lenovo,Andhra Pradesh,2021,4,224391,0.0099777985078857
362,Others,Andhra Pradesh,2021,4,1283514,0.0570728954104688
363,Xiaomi,Andhra Pradesh,2022,1,5743382,0.2407324082441111
364,Vivo,Andhra Pradesh,2022,1,4772765,0.2000492414457553
365,Samsung,Andhra Pradesh,2022,1,4124296,0.1728688268326144
366,Realme,Andhra Pradesh,2022,1,2864092,0.1200476939532653
367,Oppo,Andhra Pradesh,2022,1,2780974,0.1165638239428021
368,Apple,Andhra Pradesh,2022,1,594003,0.0248974859576163
369,OnePlus,Andhra Pradesh,2022,1,580737,0.024341444912851
370,Motorola,Andhra Pradesh,2022,1,463652,0.0194338566627117
371,Huawei,Andhra Pradesh,2022,1,401477,0.0168278072161352
